feature_id,feature,primary_role,route_family,data_domain,data_sensitivity,maturity,launch_status
PUB-001,Home,Visitor,/,public_content,Public,Production V1,Launch
PUB-002,How Endoora Works,Visitor,/how-it-works,public_content,Public,Production V1,Launch
PUB-003,Pricing,Visitor,/pricing,public_content,Public,Production V1,Launch
PUB-004,FAQ / Help,Visitor,/help,public_content,Public,Production V1,Launch
PUB-005,About,Visitor,/about,public_content,Public,Production V1,Launch
PUB-006,Contact / Support Entry,Visitor,/contact,public_content,Low,Production V1,Launch
PUB-007,Privacy / Terms / Accessibility / Copyright / Refund / AI Limitations,Visitor,/legal/*,public_content,Public,Production V1,Launch
PUB-008,Teachers Directory,Visitor,/teachers,public_content,Public,Production V1,Launch
PUB-009,Fixed Classes Directory,Visitor,/classes,public_content,Public,Validated Beta,Beta
PUB-010,Courses / Skills / Culture Content,Visitor,/learn/*,public_content,Public,Production V1,Launch
PUB-011,IELTS Hub,Visitor,/ielts,public_content,Public,Production V1,Launch
ACC-001,Registration / Login / Password Recovery,Learner/Teacher,/auth/*,accounts_profiles,High,Production V1,Launch
ACC-002,Email / Iranian Mobile Verification,Learner/Teacher,/auth/verify,accounts_profiles,High,Production V1,Launch
ACC-003,Role Selection,Learner/Teacher,/onboarding/role,accounts_profiles,Medium,Production V1,Launch
ACC-004,Consent History,Learner/Teacher,/account/privacy,accounts_profiles,High,Production V1,Launch
ACC-005,Profile / Sessions / Data Controls,Learner/Teacher,/account/*,accounts_profiles,High,Production V1,Launch
LEARN-001,Learner Dashboard / Today,Learner,/learner,learning_evidence,High,Production V1,Launch
LEARN-002,Placement Test,Learner,/placement,learning_evidence,High,Production V1,Launch
LEARN-003,Placement Report / CEFR Estimate,Learner,/placement/report,learning_evidence,High,Production V1,Launch
LEARN-004,Learner Twin,Learner,/learner/twin,learning_evidence,High,Validated Beta,Beta
LEARN-005,Personal Learning Path,Learner,/learner/path,learning_evidence,High,Production V1,Launch
LEARN-006,Daily Mission,Learner,/learner/today,learning_evidence,High,Production V1,Launch
LEARN-007,AI Practice Engine,Learner,/learner/practice,learning_evidence,High,Production V1,Launch
LEARN-008,Vocabulary / SRS,Learner,/learner/vocabulary,learning_evidence,High,Production V1,Launch
LEARN-009,Mistake Genome,Learner,/learner/mistakes,learning_evidence,High,Validated Beta,Beta
LEARN-010,Writing Mentor,Learner,/learner/writing,learning_evidence,Very High,Validated Beta,Beta
LEARN-011,Text Roleplay,Learner,/learner/roleplay,learning_evidence,High,Validated Beta,Beta
LEARN-012,Conversation History / Controlled AI Memory,Learner,/learner/conversations,learning_evidence,Very High,Foundation,Off by default
LEARN-013,Voice Conversation,Learner,/learner/voice,learning_evidence,Very High,Validated Beta,Beta
LEARN-014,Pronunciation Lab,Learner,/learner/pronunciation,learning_evidence,Very High,Validated Beta,Beta
LEARN-015,Progress Analytics,Learner,/learner/progress,learning_evidence,High,Production V1,Launch
LEARN-016,XP / Levels / Streaks,Learner,/learner/achievements,learning_evidence,Medium,Production V1,Launch
LEARN-017,Badges / Challenges,Learner,/learner/achievements,learning_evidence,Medium,Validated Beta,Beta
LEARN-018,Leaderboards / Clubs,Learner,/learner/community,learning_evidence,Medium,Foundation,Off by default
TEACH-001,Teacher Dashboard,Teacher,/teacher,teacher_workspace,High,Production V1,Launch
TEACH-002,Teacher Profile / Verification,Teacher,/teacher/profile,teacher_workspace,Very High,Production V1,Launch
TEACH-003,Students / Linked Learners,Teacher,/teacher/students,teacher_workspace,Very High,Production V1,Launch
TEACH-004,Classes / Teaching History / Hours,Teacher,/teacher/classes,teacher_workspace,High,Production V1,Launch
TEACH-005,Question Bank Upload,Teacher,/teacher/questions,teacher_workspace,High,Production V1,Launch
TEACH-006,Assignments,Teacher,/teacher/assignments,teacher_workspace,High,Production V1,Launch
TEACH-007,Submission / Grading / Feedback,Teacher,/teacher/grading,teacher_workspace,Very High,Production V1,Launch
TEACH-008,Teacher Resources / Experiences,Teacher,/teacher/resources,teacher_workspace,Medium,Validated Beta,Beta
MKT-001,Teacher Directory / Follow,Learner/Teacher,/teachers,marketplace_bookings,Medium,Production V1,Launch
MKT-002,Learn Now Requests / Matching,Learner/Teacher,/marketplace/requests,marketplace_bookings,High,Validated Beta,Beta
