feature_id,feature,primary_role,route_family,navigation_owner,route_guard,primary_cta,secondary_actions,data_domain,data_sensitivity,maturity,launch_status,offline_need,analytics_event,deep_link_contract,required_states
PUB-001,Home,Visitor,/,Public,public,Take Placement Test / Start Learning,Context-specific; keep secondary to one primary CTA,public_content,Public,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_001,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
PUB-002,How Endoora Works,Visitor,/how-it-works,Public,public,Open How Endoora Works,Context-specific; keep secondary to one primary CTA,public_content,Public,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_002,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
PUB-003,Pricing,Visitor,/pricing,Public,public,Open Pricing,Context-specific; keep secondary to one primary CTA,public_content,Public,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_003,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
PUB-004,FAQ / Help,Visitor,/help,Public,public,Open FAQ / Help,Context-specific; keep secondary to one primary CTA,public_content,Public,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_004,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
PUB-005,About,Visitor,/about,Public,public,Open About,Context-specific; keep secondary to one primary CTA,public_content,Public,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_005,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
PUB-006,Contact / Support Entry,Visitor,/contact,Public,public,Open Contact / Support Entry,Context-specific; keep secondary to one primary CTA,public_content,Low,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_006,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
PUB-007,Privacy / Terms / Accessibility / Copyright / Refund / AI Limitations,Visitor,/legal/*,Public,public,Open Privacy / Terms / Accessibility / Copyright / Refund / AI Limitations,Context-specific; keep secondary to one primary CTA,public_content,Public,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_007,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
PUB-008,Teachers Directory,Visitor,/teachers,Public,public,Open Teachers Directory,Context-specific; keep secondary to one primary CTA,public_content,Public,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_008,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
PUB-009,Fixed Classes Directory,Visitor,/classes,Public,public,Open Fixed Classes Directory,Context-specific; keep secondary to one primary CTA,public_content,Public,Validated Beta,Beta,low-bandwidth; no private offline data,route_view_pub_009,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
PUB-010,Courses / Skills / Culture Content,Visitor,/learn/*,Public,public,Open Courses / Skills / Culture Content,Context-specific; keep secondary to one primary CTA,public_content,Public,Production V1,Launch,low-bandwidth; no private offline data,route_view_pub_010,Direct URL; authenticate/authorize if private; return to requested URL or explicit denial,loading|empty|error|retry|offline/interrupted|expired-session|permission-denied as applicable
